order_id,order_date,customer_id,product_id,quantity,unit_price,discount_pct
O000016,2024-01-01,C00071,P0041,1,176.09,0.0
O000016,2024-01-01,C00071,P0038,2,329.15,0.17
O000016,2024-01-01,C00071,P0063,1,140.01,0.0
O000016,2024-01-01,C00071,P0023,1,173.85,0.0
O001102,2024-01-01,C00944,P0036,2,372.04,0.0
O001575,2024-01-01,C00281,P0013,5,162.09,0.0
O004607,2024-01-01,C00953,P0006,1,5192.19,0.0
O006376,2024-01-01,C00266,P0045,1,220.35,0.0
O010003,2024-01-01,C01239,P0021,5,168.83,0.0
O010950,2024-01-01,C00432,P0048,1,236.48,0.0
O011636,2024-01-01,C01419,P0023,1,173.85,0.19
O012531,2024-01-01,C00623,P0013,1,162.09,0.18
O012531,2024-01-01,C00623,P0009,1,362.63,0.0
O013321,2024-01-01,C00521,P0010,1,224.44,0.0
O013321,2024-01-01,C00521,P0025,3,164.23,0.12
O013321,2024-01-01,C00521,P0023,1,173.85,0.0
O014352,2024-01-01,C01440,P0053,1,181.61,0.0
O014836,2024-01-01,C00159,P0041,1,176.09,0.0
O015160,2024-01-01,C00222,P0022,1,279.91,0.0
O015160,2024-01-01,C00222,P0033,1,218.91,0.0
O016942,2024-01-01,C00871,P0053,1,181.61,0.0
O017657,2024-01-01,C01319,P0051,1,123.47,0.0
O017657,2024-01-01,C01319,P0006,2,5192.19,0.0
O017657,2024-01-01,C01319,P0055,1,120.34,0.07
O017657,2024-01-01,C01319,P0011,2,335.89,0.0
O017964,2024-01-01,C01359,P0023,1,173.85,0.19
O017964,2024-01-01,C01359,P0026,5,118.22,0.0
O017964,2024-01-01,C01359,P0022,1,279.91,0.0
O002752,2024-01-02,C00766,P0021,3,168.83,0.0
O003358,2024-01-02,C00904,P0007,1,263.61,0.0
O003358,2024-01-02,C00904,P0014,5,156.55,0.0
O003388,2024-01-02,C00684,P0053,1,181.61,0.0
O003388,2024-01-02,C00684,P0016,1,115.24,0.0
O003388,2024-01-02,C00684,P0044,1,2005.1,0.0
O004133,2024-01-02,C01093,P0054,2,314.97,0.0
O004133,2024-01-02,C01093,P0043,1,1429.14,0.0
O004387,2024-01-02,C00604,P0063,2,140.01,0.2
O004596,2024-01-02,C01380,P0023,1,173.85,0.0
O009094,2024-01-02,C00325,P0051,1,123.47,0.0
O010118,2024-01-02,C00828,P0044,1,2005.1,0.0
O010118,2024-01-02,C00828,P0029,1,896.65,0.05
O011621,2024-01-02,C01307,P0021,2,168.83,0.16
O011621,2024-01-02,C01307,P0047,1,166.79,0.1
O013383,2024-01-02,C00137,P0055,1,120.34,0.0
O017106,2024-01-02,C01005,P0023,1,173.85,0.0
O017106,2024-01-02,C01005,P0029,1,896.65,0.0
O017106,2024-01-02,C01005,P0016,1,115.24,0.17
O000346,2024-01-03,C00875,P0061,3,159.11,0.0
O000346,2024-01-03,C00875,P0006,5,5192.19,0.0
O000794,2024-01-03,C01228,P0058,1,153.41,0.08
O000794,2024-01-03,C01228,P0043,1,1429.14,0.0
O001923,2024-01-03,C00530,P0038,1,329.15,0.0
O001923,2024-01-03,C00530,P0062,1,78.89,0.0
O001923,2024-01-03,C00530,P0022,1,279.91,0.18
O001923,2024-01-03,C00530,P0040,1,202.57,0.0
O003184,2024-01-03,C00084,P0050,2,241.01,0.0
O003184,2024-01-03,C00084,P0038,1,329.15,0.14
O003184,2024-01-03,C00084,P0062,1,78.89,0.0
O006968,2024-01-03,C00946,P0061,2,159.11,0.0
O010472,2024-01-03,C01405,P0041,1,176.09,0.0
O010472,2024-01-03,C01405,P0053,3,181.61,0.0
O010621,2024-01-03,C01280,P0053,1,181.61,0.18
O010621,2024-01-03,C01280,P0038,1,329.15,0.0
O010872,2024-01-03,C00723,P0021,1,168.83,0.16
O010872,2024-01-03,C00723,P0007,1,263.61,0.0
O010872,2024-01-03,C00723,P0016,2,115.24,0.0
O015548,2024-01-03,C01048,P0024,1,377.55,0.0
O015548,2024-01-03,C01048,P0010,1,224.44,0.06
O015548,2024-01-03,C01048,P0030,1,579.21,0.0
O016062,2024-01-03,C01484,P0030,1,579.21,0.0
O016620,2024-01-03,C01024,P0040,2,202.57,0.0
O001212,2024-01-04,C00536,P0028,2,707.58,0.0
O001212,2024-01-04,C00536,P0043,1,1429.14,0.0
O001212,2024-01-04,C00536,P0008,1,401.37,0.0
O001971,2024-01-04,C00584,P0020,2,250.67,0.1
O002023,2024-01-04,C00881,P0002,1,3873.05,0.0
O002023,2024-01-04,C00881,P0005,5,5384.27,0.0
O002023,2024-01-04,C00881,P0047,2,166.79,0.0
O002203,2024-01-04,C00921,P0043,1,1429.14,0.0
O002203,2024-01-04,C00921,P0057,2,135.82,0.0
O004398,2024-01-04,C01041,P0049,1,87.48,0.0
O004398,2024-01-04,C01041,P0005,2,5384.27,0.0
O004398,2024-01-04,C01041,P0016,1,115.24,0.0
O004398,2024-01-04,C01041,P0021,1,168.83,0.0
O004454,2024-01-04,C01421,P0007,1,263.61,0.0
O004454,2024-01-04,C01421,P0050,2,241.01,0.0
O004454,2024-01-04,C01421,P0051,1,123.47,0.0
O004454,2024-01-04,C01421,P0063,2,140.01,0.0
O005133,2024-01-04,C01075,P0034,1,253.6,0.0
O005133,2024-01-04,C01075,P0028,1,707.58,0.0
O005133,2024-01-04,C01075,P0032,2,130.18,0.0
O005133,2024-01-04,C01075,P0001,1,2389.01,0.14
O005475,2024-01-04,C01400,P0040,1,202.57,0.0
O005475,2024-01-04,C01400,P0031,2,421.61,0.0
O006169,2024-01-04,C00585,P0001,2,2389.01,0.19
O006169,2024-01-04,C00585,P0028,1,707.58,0.0
O006169,2024-01-04,C00585,P0049,1,87.48,0.0
O006169,2024-01-04,C00585,P0039,1,73.24,0.0
O006473,2024-01-04,C01341,P0061,1,159.11,0.0
O006473,2024-01-04,C01341,P0031,3,421.61,0.0
O008232,2024-01-04,C00748,P0022,1,279.91,0.0
O008232,2024-01-04,C00748,P0008,2,401.37,0.0
O008232,2024-01-04,C00748,P0038,1,329.15,0.0
O008232,2024-01-04,C00748,P0043,1,1429.14,0.11
O009932,2024-01-04,C00724,P0005,1,5384.27,0.0
O011206,2024-01-04,C01331,P0034,1,253.6,0.0
O015105,2024-01-04,C00888,P0004,1,5897.93,0.0
O017147,2024-01-04,C00191,P0051,1,123.47,0.0
O017147,2024-01-04,C00191,P0051,1,123.47,0.0
O017147,2024-01-04,C00191,P0057,1,135.82,0.12
O000725,2024-01-05,C00138,P0042,2,1937.41,0.15
O000985,2024-01-05,C01405,P0006,1,5192.19,0.0
O001649,2024-01-05,C01294,P0053,1,181.61,0.0
O001902,2024-01-05,C00695,P0055,1,120.34,0.0
O004381,2024-01-05,C01424,P0041,1,176.09,0.0
O005016,2024-01-05,C01057,P0045,1,220.35,0.0
O005016,2024-01-05,C01057,P0050,1,241.01,0.0
O005675,2024-01-05,C00257,P0011,5,335.89,0.0
O005675,2024-01-05,C00257,P0058,1,153.41,0.0
O006294,2024-01-05,C00954,P0050,1,241.01,0.19
O006864,2024-01-05,C00384,P0005,1,5384.27,0.0
O007029,2024-01-05,C00312,P0025,1,164.23,0.06
O007622,2024-01-05,C00096,P0020,2,250.67,0.0
O008081,2024-01-05,C01114,P0038,2,329.15,0.13
O008081,2024-01-05,C01114,P0038,2,329.15,0.0
O008081,2024-01-05,C01114,P0025,1,164.23,0.06
O008305,2024-01-05,C00883,P0058,1,153.41,0.0
O008305,2024-01-05,C00883,P0031,1,421.61,0.0
O008672,2024-01-05,C01287,P0023,1,173.85,0.08
O008672,2024-01-05,C01287,P0007,1,263.61,0.15
O008672,2024-01-05,C01287,P0016,2,115.24,0.0
O008672,2024-01-05,C01287,P0022,1,279.91,0.0
O010499,2024-01-05,C00180,P0034,1,253.6,0.0
O010499,2024-01-05,C00180,P0049,1,87.48,0.07
O012559,2024-01-05,C01459,P0040,1,202.57,0.0
O015892,2024-01-05,C00977,P0008,1,401.37,0.1
O015892,2024-01-05,C00977,P0062,1,78.89,0.0
O017917,2024-01-05,C00656,P0034,2,253.6,0.08
O017917,2024-01-05,C00656,P0055,1,120.34,0.0
O017917,2024-01-05,C00656,P0030,1,579.21,0.0
O017950,2024-01-05,C00311,P0042,2,1937.41,0.0
O000422,2024-01-06,C01026,P0028,1,707.58,0.0
O000422,2024-01-06,C01026,P0031,2,421.61,0.0
O001145,2024-01-06,C00470,P0061,1,159.11,0.0
O001165,2024-01-06,C00977,P0053,1,181.61,0.07
O004277,2024-01-06,C00248,P0054,1,314.97,0.0
O005582,2024-01-06,C01028,P0013,5,162.09,0.0
O007764,2024-01-06,C01379,P0009,1,362.63,0.0
O007764,2024-01-06,C01379,P0059,1,37.28,0.0
O007989,2024-01-06,C00189,P0035,3,81.6,0.0
O008454,2024-01-06,C01187,P0049,2,87.48,0.0
O010293,2024-01-06,C01320,P0016,1,115.24,0.0
